direction	spBLEU	chrF++	len_ratio
ace_Arab-ace_Latn	8.7	32.2
ace_Arab-acm_Arab	4.3	19.2
ace_Arab-acq_Arab	6.3	18.3
ace_Arab-aeb_Arab	8.2	22.5
ace_Arab-afr_Latn	11.1	31.7
ace_Arab-ajp_Arab	9.3	23.5
ace_Arab-aka_Latn	4.7	22.6
ace_Arab-als_Latn	11.1	30.6
ace_Arab-amh_Ethi	9.7	17
ace_Arab-apc_Arab	10.4	24.4
ace_Arab-arb_Arab	13	27.3
ace_Arab-ars_Arab	7.8	20.1
ace_Arab-ary_Arab	9	23.5
ace_Arab-arz_Arab	11	25.3
ace_Arab-asm_Beng	9.3	20.3
ace_Arab-ast_Latn	10.2	29.8
ace_Arab-awa_Deva	8.7	22.8
ace_Arab-ayr_Latn	4	24.1
ace_Arab-azb_Arab	2.3	17.2
ace_Arab-azj_Latn	8.4	24.9
ace_Arab-bak_Cyrl	9.8	25.7
ace_Arab-bam_Latn	3.4	21.6
ace_Arab-ban_Latn	7.8	30.5
ace_Arab-bel_Cyrl	9.5	23.8
ace_Arab-bem_Latn	4.7	25.5
ace_Arab-ben_Beng	12.6	25.1
ace_Arab-bho_Deva	8.7	24.2
ace_Arab-bjn_Arab	5.7	17.2
ace_Arab-bjn_Latn	8.6	31.3
ace_Arab-bod_Tibt	3.2	21.6
ace_Arab-bos_Latn	10.2	28.9
ace_Arab-bug_Latn	4.5	25.1
ace_Arab-bul_Cyrl	13.3	30.4
ace_Arab-cat_Latn	13.9	32.2
ace_Arab-ceb_Latn	12.8	35.3
ace_Arab-ces_Latn	10.8	27.1
ace_Arab-cjk_Latn	1.9	19.7
ace_Arab-ckb_Arab	8.1	25.7
ace_Arab-crh_Latn	7.8	25.3
ace_Arab-cym_Latn	15.2	31
ace_Arab-dan_Latn	12.1	31.9
ace_Arab-deu_Latn	11.4	30.6
ace_Arab-dik_Latn	2.9	18.8
ace_Arab-dyu_Latn	1.9	16.6
ace_Arab-dzo_Tibt	5.5	24.5
ace_Arab-ell_Grek	13.3	27.1
ace_Arab-eng_Latn	15.4	35.7
ace_Arab-epo_Latn	11.7	31.3
ace_Arab-est_Latn	9.7	28.7
ace_Arab-eus_Latn	9.6	28.9
ace_Arab-ewe_Latn	6.5	25.5
ace_Arab-fao_Latn	8.3	25.8
ace_Arab-fij_Latn	10.7	33.7
ace_Arab-fin_Latn	9.5	28.6
ace_Arab-fon_Latn	2.8	14.6
