direction	spBLEU	chrF++	len_ratio
twi_Latn-kon_Latn	12.77	39.05	0.993
kin_Latn-jpn_Jpan	12.74	19.96	0.964
tam_Taml-kor_Hang	20.23	28.08	0.982
arb_Arab-kor_Hang	21.26	29.82	0.974
cjk_Latn-hin_Deva	9.10	21.51	0.843
yor_Latn-kor_Hang	12.92	19.93	0.958
ita_Latn-tir_Ethi	13.86	22.45	1.032
luo_Latn-lin_Latn	12.50	37.07	0.909
yor_Latn-por_Latn	21.78	40.47	0.939
yue_Hant-swh_Latn	20.61	44.56	0.912
tsn_Latn-swh_Latn	20.42	43.25	0.940
arb_Arab-por_Latn	36.25	56.22	1.002
ewe_Latn-isl_Latn	14.19	31.25	0.953
kin_Latn-bel_Cyrl	18.84	34.14	0.888
rus_Cyrl-zho_Hans	21.12	18.57	0.819
lin_Latn-ayr_Latn	6.18	28.70	1.066
tam_Taml-por_Latn	31.44	51.46	0.979
pes_Arab-ast_Latn	23.76	47.31	1.017
cjk_Latn-eng_Latn	9.32	30.67	1.343
tso_Latn-kik_Latn	11.57	32.89	0.880
tso_Latn-snd_Arab	17.97	33.12	0.988
bul_Cyrl-sin_Sinh	28.09	36.82	0.866
kea_Latn-ace_Latn	9.69	33.98	0.947
afr_Latn-eus_Latn	26.40	48.03	0.976
wol_Latn-ita_Latn	15.21	34.90	0.938
kik_Latn-cjk_Latn	2.56	20.31	0.931
ayr_Latn-tel_Telu	11.85	23.89	0.890
oci_Latn-yor_Latn	13.19	28.43	1.167
hau_Latn-eng_Latn	33.53	55.69	1.111
swh_Latn-ace_Latn	9.09	33.38	0.888
luo_Latn-yue_Hant	7.72	11.15	0.747
hau_Latn-hin_Deva	23.11	40.40	0.918
ayr_Latn-mal_Mlym	11.52	24.16	0.917
por_Latn-ace_Latn	9.67	34.49	0.913
fuv_Latn-ayr_Latn	4.14	25.21	1.200
eng_Latn-kor_Hang	25.71	35.48	1.005
vie_Latn-wol_Latn	7.01	26.92	1.198
zho_Hans-tat_Cyrl	23.25	41.87	1.026
vie_Latn-bul_Cyrl	34.29	52.21	1.005
kik_Latn-lvs_Latn	11.60	28.80	0.998
wol_Latn-mar_Deva	12.34	27.77	0.927
eng_Latn-por_Latn	54.16	69.21	0.983
kon_Latn-kin_Latn	11.36	33.04	0.977
jpn_Jpan-isl_Latn	21.95	39.58	0.995
tsn_Latn-fin_Latn	19.38	40.13	0.976
yue_Hant-fin_Latn	21.61	42.67	0.958
run_Latn-mar_Deva	15.23	31.83	0.912
jpn_Jpan-lvs_Latn	20.51	41.50	0.936
hau_Latn-afr_Latn	23.96	46.18	0.990
twi_Latn-yue_Hant	8.77	11.44	0.800
kik_Latn-isl_Latn	13.15	28.01	0.944
tel_Telu-fuv_Latn	3.95	21.61	1.108
rus_Cyrl-oci_Latn	26.75	47.34	0.958
lvs_Latn-ayr_Latn	6.05	29.34	1.078
hin_Deva-vie_Latn	35.12	53.14	0.979
zho_Hans-twi_Latn	9.82	31.78	1.035
tsn_Latn-jpn_Jpan	6.68	18.49	1.170
yue_Hant-jpn_Jpan	13.94	20.01	0.910
fin_Latn-snd_Arab	19.90	37.10	1.043
fin_Latn-kik_Latn	10.56	31.91	0.955
tir_Ethi-mal_Mlym	22.73	37.30	0.931
eng_Latn-kea_Latn	21.53	42.03	0.890
ewe_Latn-cjk_Latn	2.60	21.24	0.897
hin_Deva-tso_Latn	19.37	45.19	1.058
kon_Latn-pes_Arab	15.16	30.76	0.911
tir_Ethi-tel_Telu	22.05	37.93	0.925
kin_Latn-swh_Latn	23.61	46.73	0.947
yue_Hant-bel_Cyrl	19.69	35.22	0.879
tsn_Latn-bel_Cyrl	17.62	32.88	0.878
eus_Latn-tel_Telu	26.31	41.40	0.937
twi_Latn-lin_Latn	14.83	40.95	1.021
yor_Latn-kea_Latn	9.14	27.17	0.847
tam_Taml-kea_Latn	12.64	33.34	0.905
run_Latn-ita_Latn	20.43	40.52	0.922
jpn_Jpan-cjk_Latn	2.22	20.57	0.880
afr_Latn-hau_Latn	24.93	48.23	0.998
tat_Cyrl-fra_Latn	28.92	47.78	1.013
arb_Arab-kea_Latn	16.06	37.73	0.916
luo_Latn-kon_Latn	11.93	36.92	0.895
ita_Latn-cym_Latn	36.23	53.79	1.029
eus_Latn-mal_Mlym	26.61	41.20	0.965
cjk_Latn-afr_Latn	8.92	28.08	0.971
kin_Latn-fin_Latn	20.75	41.68	0.987
vie_Latn-ewe_Latn	14.14	35.82	1.015
pes_Arab-rus_Cyrl	31.28	48.37	0.988
zho_Hans-urd_Arab	19.97	38.66	1.002
fra_Latn-sin_Sinh	28.92	37.64	0.858
ewe_Latn-lvs_Latn	12.48	31.57	0.919
isl_Latn-ayr_Latn	6.09	28.61	1.105
fon_Latn-fuv_Latn	2.45	17.67	1.098
pes_Arab-nso_Latn	19.93	45.21	1.029
fon_Latn-run_Latn	8.24	27.72	0.949
lvs_Latn-fin_Latn	27.04	47.89	0.993
por_Latn-mal_Mlym	31.18	46.02	0.975
mal_Mlym-luo_Latn	11.37	35.15	0.990
por_Latn-tel_Telu	32.58	48.06	0.959
eng_Latn-hau_Latn	31.62	53.70	0.985
rus_Cyrl-nso_Latn	18.24	43.73	1.031
isl_Latn-swh_Latn	21.72	45.11	0.946
ewe_Latn-eng_Latn	18.17	40.09	1.115
swh_Latn-tel_Telu	27.14	42.32	0.918
fuv_Latn-jpn_Jpan	6.89	11.17	1.081
cjk_Latn-isl_Latn	8.65	24.59	1.050
ace_Latn-bul_Cyrl	25.16	42.92	0.964
ace_Latn-wol_Latn	5.73	24.01	1.185
ayr_Latn-ace_Latn	4.78	23.88	0.950
oci_Latn-lin_Latn	18.81	46.38	1.073
fra_Latn-mar_Deva	22.83	40.81	0.961
ewe_Latn-hin_Deva	14.86	30.57	0.834
swh_Latn-mal_Mlym	26.47	41.15	0.945
fuv_Latn-bel_Cyrl	9.19	23.69	0.938
kea_Latn-tel_Telu	29.92	45.24	0.965
kin_Latn-ayr_Latn	6.36	28.90	1.078
jpn_Jpan-eng_Latn	31.34	54.92	1.041
lin_Latn-bel_Cyrl	17.53	32.78	0.875
urd_Arab-cym_Latn	34.98	52.33	0.986
zho_Hans-arb_Arab	27.03	42.81	1.004
run_Latn-sin_Sinh	19.54	29.18	0.811
jpn_Jpan-hin_Deva	22.39	40.36	0.920
kea_Latn-mal_Mlym	29.67	43.52	0.963
zho_Hans-tsn_Latn	17.67	41.47	0.991
snd_Arab-cym_Latn	37.63	54.16	0.999
lin_Latn-jpn_Jpan	11.24	18.05	0.994
luo_Latn-yor_Latn	5.57	18.40	0.981
lvs_Latn-swh_Latn	24.11	47.84	0.969
tat_Cyrl-kin_Latn	16.09	39.51	0.979
mar_Deva-cym_Latn	35.59	52.81	0.978
tam_Taml-hau_Latn	19.81	44.68	1.039
ast_Latn-luo_Latn	13.61	36.59	0.949
afr_Latn-kea_Latn	19.08	40.04	0.898
tel_Telu-run_Latn	14.97	37.80	1.048
kik_Latn-afr_Latn	16.94	37.86	1.001
hau_Latn-isl_Latn	22.44	40.16	1.021
arb_Arab-hau_Latn	22.43	47.42	1.038
fra_Latn-ita_Latn	34.81	54.49	0.959
isl_Latn-fin_Latn	24.96	45.53	0.982
oci_Latn-yue_Hant	15.02	16.36	0.922
